,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
107,2022-02-06,Jerami Grant,DET @ MIN,19.5,4.5,2.5,0.5,0.5,1.5,,,,,203924.0,22021
108,2022-02-06,Khris Middleton,MIL @ LAC,18.5,5.5,4.5,0.5,0.5,2.5,,,,,203114.0,22021
109,2022-02-06,Kevin Porter Jr.,HOU vs. NOR,14.5,3.5,,0.5,0.5,2.5,,,,,1629645.0,22021
110,2022-02-06,Bobby Portis Jr.,MIL @ LAC,13.5,7.5,1.5,0.5,0.5,1.5,,,,,,22021
111,2022-02-06,Isaiah Stewart,DET @ MIN,9.5,,,0.5,,,,,,,1630191.0,22021
112,2022-02-06,Christian Wood,HOU vs. NOR,18.5,8.5,2.5,0.5,0.5,2.5,,,,,1626174.0,22021
113,2022-02-06,Joel Embiid,PHI @ CHI,32.5,11.5,4.5,1.5,0.5,1.5,,,,,203954.0,22021
114,2022-02-06,Terrence Ross,ORL vs. BOS,7.5,2.5,1.5,,,0.5,,,,,203082.0,22021
115,2022-02-06,Cory Joseph,DET @ MIN,8.5,3.5,,0.5,0.5,1.5,,,,,202709.0,22021
116,2022-02-06,Jae'Sean Tate,HOU vs. NOR,11.5,4.5,3.5,,0.5,,,,,,1630256.0,22021
117,2022-02-06,Reggie Jackson,LAC vs. MIL,17.5,3.5,5.5,0.5,0.5,,,,,,202704.0,22021
118,2022-02-06,Patty Mills,BKN @ DEN,15.5,2.5,2.5,,,3.5,,,,,201988.0,22021
119,2022-02-06,Jarred Vanderbilt,MIN vs. DET,8.5,8.5,1.5,0.5,,,,,,,1629020.0,22021
120,2022-02-06,Evan Mobley,CLE vs. IND,16.5,8.5,2.5,1.5,0.5,,,,,,1630596.0,22021
121,2022-02-06,Al Horford,BOS @ ORL,8.5,6.5,2.5,0.5,0.5,1.5,,,,,201143.0,22021
122,2022-02-06,Wendell Carter Jr.,ORL vs. BOS,14.5,10.5,2.5,0.5,0.5,0.5,,,,,1628976.0,22021
123,2022-02-06,Marcus Morris Sr.,LAC vs. MIL,15.5,4.5,2.5,0.5,,1.5,,,,,202694.0,22021
124,2022-02-06,Tobias Harris,PHI @ CHI,18.5,6.5,3.5,0.5,0.5,1.5,,,,,202699.0,22021
125,2022-02-06,Domantas Sabonis,IND @ CLE,19.5,11.5,6.5,0.5,1.5,0.5,,,,,1627734.0,22021
126,2022-02-06,Jaylen Nowell,MIN vs. DET,,2.5,1.5,,,,,,,,1629669.0,22021
127,2022-02-06,Marcus Smart,BOS @ ORL,11.5,3.5,6.5,0.5,1.5,1.5,,,,,203935.0,22021
128,2022-02-06,Grant Williams,BOS @ ORL,6.5,3.5,0.5,0.5,,,,,,,1629684.0,22021
129,2022-02-06,Nikola Jokic,DEN vs. BKN,25.5,11.5,8.5,0.5,1.5,,,,,,203999.0,22021
130,2022-02-06,D'Angelo Russell,MIN vs. DET,17.5,3.5,6.5,0.5,0.5,2.5,,,,,1626156.0,22021
131,2022-02-06,Jonas Valanciunas,NOR @ HOU,19.5,,2.5,1.5,0.5,,,,,,202685.0,22021
132,2022-02-06,Karl-Anthony Towns,MIN vs. DET,23.5,9.5,3.5,0.5,0.5,1.5,,,,,1626157.0,22021
133,2022-02-06,Jalen Brunson,DAL vs. ATL,16.5,4.5,5.5,0.5,0.5,1.5,,,,,1628973.0,22021
134,2022-02-06,Seth Curry,PHI @ CHI,13.5,2.5,4.5,0.5,0.5,1.5,,,,,203552.0,22021
135,2022-02-06,Josh Green,DAL vs. ATL,,2.5,1.5,,,,,,,,1630182.0,22021
136,2022-02-06,Day'Ron Sharpe,BKN @ DEN,,6.5,,,,,,,,,1630549.0,22021
137,2022-02-06,Justin Holiday,IND @ CLE,11.5,2.5,1.5,,0.5,,,,,,203200.0,22021
138,2022-02-06,Jaden McDaniels,MIN vs. DET,8.5,3.5,1.5,,,,,,,,1630183.0,22021
139,2022-02-06,Dorian Finney-Smith,DAL vs. ATL,10.5,4.5,1.5,,0.5,1.5,,,,,1627827.0,22021
