,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player_Name,POS,TEAM,Off_Days,TEAM_ID
57,22020,1630173,0022000986,2021-05-04,MIA vs. DAL,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,2,12,1,Precious Achiuwa,Forward,MIA,2,1610612748
58,22020,1630173,0022001050,2021-05-13,MIA vs. PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,Precious Achiuwa,Forward,MIA,9,1610612748
59,22020,1630173,0022001062,2021-05-15,MIA @ MIL,L,2,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,3,1,Precious Achiuwa,Forward,MIA,2,1610612748
60,22020,1630173,0022001069,2021-05-16,MIA @ DET,W,42,10,16,0.625,0,0,0.0,3,7,0.429,3,7,10,0,2,1,2,3,23,6,1,Precious Achiuwa,Forward,MIA,1,1610612748
61,22021,1630173,0022100006,2021-10-20,TOR vs. WAS,L,19,3,8,0.375,0,0,0.0,0,2,0.0,3,4,7,2,1,0,1,4,6,-6,1,Precious Achiuwa,Forward,TOR,0,1610612761
62,22021,1630173,0022100020,2021-10-22,TOR @ BOS,W,25,6,13,0.462,1,2,0.5,2,2,1.0,3,12,15,0,1,0,0,0,15,16,1,Precious Achiuwa,Forward,TOR,2,1610612761
63,22021,1630173,0022100029,2021-10-23,TOR vs. DAL,L,33,4,9,0.444,0,1,0.0,2,3,0.667,3,9,12,3,0,0,1,3,10,3,1,Precious Achiuwa,Forward,TOR,1,1610612761
64,22021,1630173,0022100046,2021-10-25,TOR vs. CHI,L,29,4,12,0.333,1,2,0.5,2,4,0.5,2,9,11,2,0,0,2,2,11,-7,1,Precious Achiuwa,Forward,TOR,2,1610612761
65,22021,1630173,0022100058,2021-10-27,TOR vs. IND,W,27,4,9,0.444,0,1,0.0,2,4,0.5,2,4,6,0,1,1,0,2,10,18,1,Precious Achiuwa,Forward,TOR,2,1610612761
66,22021,1630173,0022100071,2021-10-29,TOR vs. ORL,W,21,4,9,0.444,0,2,0.0,0,1,0.0,1,5,6,1,0,0,2,2,8,-7,1,Precious Achiuwa,Forward,TOR,2,1610612761
67,22021,1630173,0022100081,2021-10-30,TOR @ IND,W,17,2,9,0.222,0,2,0.0,0,0,0.0,0,3,3,1,0,1,2,3,4,-2,1,Precious Achiuwa,Forward,TOR,1,1610612761
